author,title,publisher,keyword,abs,publish_year
"Tully, Tim",BKLYN fashion academy: a case study of a public library program supporting fashion entrepreneurs,JOURNAL OF BUSINESS & FINANCE LIBRARIANSHIP,Entrepreneurship; outreach; partnerships; programing; public libraries,"This case study presents the planning and implementation of a public library program that supported aspiring fashion entrepreneurs. The program participants developed miniature collections through a combination of courses and access to materials and equipment, and they showcased their designs in a culminating runway show. The library partnered with outside organizations to connect these individuals with the library resources, mentorship, and technical assistance that would help them create their own brands and, ultimately, market and sell their own products.",2019
"Lenstra, Noah",Yoga at the Public Library: An Exploratory Survey of Canadian and American Librarians,JOURNAL OF LIBRARY ADMINISTRATION,adult services; physical literacy; public programming; public libraries; youth services,"Results of a 2017 survey of 983 public librarians in the U.S. and Canada show that libraries increasingly provide opportunities for both youth and adults to practice yoga at the library. This article examines how these public library yoga programs work and what impacts they have. Most libraries have limited means to assess the impact of these programs. Nonetheless, over 80% of responding librarians said participation in yoga programs had met or exceeded their expectations, and 60% said yoga programs have brought new users into their libraries. These results suggest that yoga programs in public libraries are having significant effects.",2017
"Brannon, Sian","Public library fieldwork supervisors: A survey of activities, assessment, and attitudes",JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE,Content analysis; fieldwork; practicum; public library; supervisor; survey,"Little research directly targets supervisors of fieldwork students in public libraries. This article identifies their feelings and behaviors using Lev Vygotsky's zone of proximal development theory as a background for design and discussion of results. Fieldwork activities, supervisor assessments, and self-perceived roles are discussed. The study began with an online survey (77 respondents solicited by email) and continued with follow-up questions (25 respondents). Results indicate fieldwork supervisors see themselves as mentors, serving as the more capable peer' according to Vygotsky, and they guide students from supervised to unsupervised work. Suggestions for further research are given.",2015
"Zager, Sam; Haskins, Amy; Maland, Katherine; Holt, Christina",The Health and Libraries of Public Use Retrospective Study (HeLPURS),HEALTH INFORMATION AND LIBRARIES JOURNAL,health literacy; libraries; public; public health; research; quantitative; United States of America (USA),"BackgroundPublic libraries may promote health through literacy, education and social connections. ObjectiveTo conduct the first broad-based, quantitative exploration of health and public library patronage. MethodsRetrospective cross-sectional study. All 2925 adult patients at a general practice clinic living in a small north-eastern U.S. city were invited by mail to participate; 243 consented. Clinical variables from the medical records were combined with library usage variables from the public library patron database. The authors analysed how patient health characteristics were associated with library cardholding, average card use or recency of use. ResultsApproximately 72% of participants held a library card; 40% of these had used it within the last month. Library cardholding was not associated with patient characteristics. Higher average card use was associated with pregnancy, having youth at home and depression severity. Lack of recent library usage was associated with current smoking (P = 0.01) and drug use (P = 0.01). Among ever-smokers, moderate/high card use and card use within six months were both associated with over two times the odds of quitting smoking. ConclusionsPublic libraries and health appear to intersect around substance abuse and depression-anxiety disorders. Moderate or higher use of public libraries is strongly associated with tobacco cessation.",2016
"Real, Brian; Bogel, Gayle","Public Libraries and the Opioid Crisis, Part 2: Community-Centered Responses",PUBLIC LIBRARY QUARTERLY,Public libraries; opioids; security; facilities management; vulnerable populations,"Numerous articles from major national newspapers have covered the fact that as the opioid crisis has become a pervasive problem in the United States, overdoses in public libraries have become a somewhat common occurrence. Many of these discussions center on librarians being trained to use the overdose reversal drug Naloxone, and that was the primary focus of the first part of this two-part study. However, this second article discusses what libraries are doing to mitigate the impacts of the crisis and help persons from vulnerable populations before matters escalate to become emergency situations. The authors document how libraries are attempting to educate their communities about the opioid crisis, ways they have partnered with community organizations to help opioid dependent persons, and how they have addressed various facilities and security concerns for their buildings.",2019
"Whitacre, Brian; Rhinesmith, Colin",Public libraries and residential broadband adoption: Do more computers lead to higher rates?,GOVERNMENT INFORMATION QUARTERLY,Public libraries; Broadband; Computers; Household broadband adoption,"Providing access to computers with high-speed Internet connectivity is a central mission of public libraries in the United States. One pertinent, currently unanswered question is whether library Internet access leads to increasing residential broadband adoption rates in the communities that the libraries serve. This paper uses simple county-level regression analysis to document a positive association between a higher number of libraries and household broadband adoption rates as of 2013 but only in rural areas. This correlation does not imply causation, however. A propensity score matching technique is used to demonstrate that counties with libraries that aggressively increased their number of Internet-accessible computers between 2008 and 2012 did not see measurably higher increases in their rates of residential broadband adoption. These findings lend themselves to future research questions including how to appropriately measure broadband 'adoption' outside of the home and methods for engaging library patrons that ultimately encourage residential broadband adoption. (C) 2015 Elsevier Inc. All rights reserved.",2015
"Marcus, Elizabeth; Turnbull, Malti",On the same page: Improving the connection between public services units in academic libraries,COLLEGE & UNDERGRADUATE LIBRARIES,Academic libraries; interdepartmental relations; leadership; library personnel; organizational communication; public services,"Communication quality between public service units in academic libraries can make the difference between mediocre and exceptional service. If units do not communicate well, patrons may receive inaccurate information and experience short-term frustration, leading to long-term damage to the library's reputation. Poor communication creates adverse effects on employees through decreased productivity, negative work culture, and low morale. This article explores the importance of quality communication through a review of the literature and a case study at one academic library. The authors share practical communication improvement strategies for libraries of every size and fiscal ability.",2018
"Wing, Kate",Use of Self-Service Holds in Maine Public Libraries,PUBLIC LIBRARY QUARTERLY,Customer service; intellectual freedom; privacy; public libraries; self-service hold,"This study investigated self-service holds in Maine's public libraries. Survey data were collected to assess the trend, evaluate patron privacy, and associate implementation with the director's level of education. The results show that the four libraries with self-service holds breach patron privacy by connecting personally identifiable information with the item requested. This group was not large enough to correlate with the level of education. The results also reveal that some libraries considered implementation but did not because of privacy concerns. The findings invite further investigation into the connections among public library practice and ethics, professional education, and US law.",2019
"Yoon, Hee-Yoon; Kim, Sin-Young",A study on the job analysis of public libraries in Korea,ASLIB PROCEEDINGS,Public libraries; Job analysis; Human resource management; South Korea,"Purpose - The purpose of this paper is to analyze jobs and duties involved in Korean public libraries and provide a clear picture of such issues. Design/methodology/approach - All of the various duties being executed in libraries are identified. Public libraries across the nation are requested to assist with our survey. Questionnaires are collected to survey the level of awareness of all the duties involved in public libraries and analyzed to determine the importance, difficulty, and professionalism of 194 library duties. Findings - Through this study, perceived levels of frequency, importance, and difficulty of duties related to public libraries are surveyed and average values for each duty are compared and analyzed to formulate a standard job model and action plan. Originality/value - This is the first paper to present a basic library duty model reflecting rapidly changing information technologies and information types of Korean public libraries based on a library duty analysis of advanced countries.",2009
"DeMaagd, Kurt; Chew, Han Ei; Huang, Guanxiong; Khan, M. Laeeq; Sreenivasan, Akshaya; LaRose, Robert","The use of public computing facilities by library patrons: demography, motivations, and barriers",GOVERNMENT INFORMATION QUARTERLY,Public computing; Libraries; Motivation of users; Barriers; BTOP,"Public libraries play an important part in the development of a community. Today, they are seen as more than store houses of books; they are also responsible for the dissemination of online, and offline information. Public access computers are becoming increasingly popular as more and more people understand the need for internet access. Using a series of surveys conducted in 12 libraries across the state of Michigan, the current study is a step towards understanding why the computing facilities are widely used, and what are the motivations behind their use. In addition, barriers and other factors that hinder usage are also discussed. The findings from this study will help policy makers and library administrators evaluate the current allocation of scarce resources, help them promote greater use of the library's resources, and guide their future course of action. The study is conducted as part of a federally funded public computing center grant. (C) 2012 Elsevier Inc. All rights reserved.",2013
"Gould, Elizabeth; Gomez, Ricardo",New challenges for libraries in the information age: a comparative study of ICT in public libraries in 25 countries,INFORMATION DEVELOPMENT,public libraries; information and communication technologies; public access; ICT4D; community development; comparative studies,"This paper - drawn from the larger 'Landscape Study,' the first of its kind to look across 25 developing countries to compare how public access venues, including libraries, telecenters and cybercafes, are being used - looks at how public perceptions of libraries in these countries affect the way they are used as public access venues for information and communication technologies (ICT). When compared to other public access venues, public libraries are not perceived as important or useful places to get information, based on users' perceptions of access to current information and technology, and to associated technology training and support. Furthermore, libraries tend not to be prioritized by government agencies for financial and policy support. This paper is part of a study conducted by the University of Washington's Technology & Social Change group (TASCHA), carried out in association with local research partners in 25 developing countries around the globe. The goal of the study is to identify how people are satisfying their information needs through public access venues, with the intent of informing policy makers and funders, and of offering new insight into research that crosses between the disciplines of library and information science and information technologies for development. An earlier version of this paper was presented at the Community Informatics Conference CIRN, 2009, Prato, Italy.",2010
"Joo, Soohyung; Choi, Namjoo; Baek, Tae Hyun",Library marketing via social media: The relationships between Facebook content and user engagement in public libraries,ONLINE INFORMATION REVIEW,Online marketing; Social media; Public library; Social media marketing; User engagement,"Purpose The purpose of this paper is twofold: to explore what kinds of social media content public libraries create to communicate with users online, and to examine the relationships between social media content types and corresponding levels of user engagement. Design/methodology/approach The sample comprises 4,637 Facebook posts collected from 151 public libraries across the USA. The authors identified ten types of Facebook posts based on the open coding, and calculated the degrees of user engagement for each type of Facebook post, represented by the numbers of likes, shares and comments. Also, The authors examined the effects of the inclusions of images or video clips on user engagement. Findings The authors observed that the most frequent type of post was related to announcing upcoming events held in libraries. This study also found that posts about community news or emotionally inspiring messages elicited much engagement from users. Posts having an image or images tend to receive more user engagement. Practical implications Based on the findings of this study, the authors discussed practical strategies for public libraries to effectively use social media to better facilitate user engagement. Originality/value This study is one of a few attempts that examine the relationships between the types of social media content and the degrees of user engagement in public library environments. Also, the authors have proposed a coding scheme useful to analyze social media content in the context of public libraries.",2018
"Giesler, Mark A.",The Collaboration Between Homeless Shelters and Public Libraries in Addressing Homelessness: A Multiple Case Study,JOURNAL OF LIBRARY ADMINISTRATION,homelessness; public library; gatekeeper; social service collaboration,"Public librarians are not always able or willing to embrace their role as providers of social and institutional capital for homeless patrons. Yet their position as gatekeepers impels them to do so. Through focus-group interviews with staff of homeless shelters in eight urban communities in one Midwestern state, this study explored the collaboration and communication between homeless shelters and public libraries. Findings indicate that homeless shelter staff recognize the value of public library services for their residents but do not engage in coordinated efforts to capitalize on it. Suggestions for enhanced collaboration between the two institutions are included.",2019
"Igarashi, Tomoya; Koizumi, Masanori; Widdersheim, Michael",Capturing Citizens' Information Needs through Analysis of Public Library Circulation Data,LIBRI-INTERNATIONAL JOURNAL OF LIBRARIES AND INFORMATION STUDIES,public libraries; lifelong learning; reading habits; information needs; circulation data,"The Japanese government has initiated lifelong learning policies to promote lifelong learning to a super-aging society. It is said that lifelong learning contributes to a richer and more fulfilling life. It is within this context that public libraries have been identified as ideal facilities for promoting lifelong learning. To support lifelong learning successfully, libraries must accurately grasp citizens' needs, all while working within limited budgets. To understand citizens' learning needs, this study uses public library circulation data. This study is significant because such data use is often unavailable in Japan. This data was used to clarify citizens' learning interests. Circulation data was compared from two libraries in Japan: Koto District Library in Tokyo and Tahara City Library in Aichi Prefecture. The data was used to identify general learning needs while also accounting for regional differences. The methodology and results of this research are significant for the development of lifelong learning policy and programming.",2020
"Wrigley, Jordan; Kennedy, Caitlin; Flaherty, Mary Grace; Ponder, Madison; Foster, Meg; Akman, Jesse",A Statewide Analysis of North Carolina Public Libraries and Their Response to the Opioid Epidemic,PUBLIC LIBRARY QUARTERLY,Public libraries; opioids; opioid crisis; opioid response; public health; substance abuse,"This study sought to investigate the opioid epidemic impact on North Carolina public libraries. Libraries in half of all 100 counties were chosen through a random, geographically systematic process, and structured interviews were completed with library directors. Twenty directors were interviewed, representing 28 counties. All reported their communities were affected; nine reported direct impacts on library function. Fifteen directors felt libraries should be involved in response; some felt Narcan administration was beyond library purview. Two libraries reported having Narcan available; five reported providing staff training. Given librarians' willingness to respond, it is time to provide necessary support for those efforts.",2020
"Prestamo, Anne M.; Bashir, Faiza; Soroya, Saira Hanif; Khanum, Almas",USERS' SATISFACTION AS A VALID MEASURE FOR INFORMATION RESOURCES: A CASE OF PUBLIC LIBRARIES,JOURNAL OF LIBRARY ADMINISTRATION,public libraries; information resources; user satisfaction; information quality,The mission of public libraries is to serve the unique needs of their local communities. Public library User's play a very vital role in the development of these libraries by suggesting or recommending additions to the collection. This study aims to evaluate the satisfaction of users with the quality and quantity of library collection. A self structured questionnaire based on open and close ended question was constructed. A purposive sample of one hundred users was selected. The data were qualitatively analyzed using a thematic approach. Positive opinion observed related to the library response towards the suggested titles. Almost half the population of respondents was satisfied with the availability of their suggested titles in library. Most of them were dissatisfied regarding the maintenance of equal collection of books and they are not encouraged by the library staff during the books suggestion process. It concludes that there is a need to evaluate the existing library collections.,2018
"Sandy, Heather Moulaison",The Role of Public Libraries in Self-Publishing: Investigating Author and Librarian Perspectives,JOURNAL OF LIBRARY ADMINISTRATION,self-publishing; public libraries; library publishing initiatives; author motivations; author experience; librarian self-publishing concerns,"Little is known about self-publishing authors and about the concerns of public librarians regarding how best to support library self-publishing initiatives. This article presents and analyzes a survey of authors participating in programming at the Woodneath Library Center/Woodneath Press. It also presents and analyzes the results of a survey of public librarians. Findings suggest that self-publishing authors in this case study would benefit from author services support, and that librarians require targeted training to provide such support. As libraries explore this potential new role, more needs to be done to support author services in public libraries appropriately.",2016
"Bossaller, Jenny; Adkins, Denice; Brendler, Beth",LEARNING TO LEAD: CHALLENGES AND RESOURCES FOR THE NEW PUBLIC LIBRARY DIRECTOR,JOURNAL OF LIBRARY ADMINISTRATION,knowledge management; mentoring; public libraries; administration; leadership; communities of practice,"Library directors are part of the infrastructure of information management, but how well do they manage their institutional knowledge for succession planning? Our study looked at strategies to ease managerial transitions between libraries, focusing on knowledge management, communities of practice, and mentorship. Our survey found that succession planning was dictated by local practice and size of library. The results of this paper inform knowledge of succession planning and reveal existing gaps between informal transfer of knowledge and structured knowledge management (KM), as well as librarians' resourcefulness. Library directors use KM strategies, mentoring, and involvement with communities of practice to foster innovation.",2017
"Matusiak, Krystyna K.",User Navigation in Large-Scale Distributed Digital Libraries: The Case of the Digital Public Library of America,JOURNAL OF WEB LIBRARIANSHIP,case study; Digital Public Library of America; discovery of digital collections; information behavior; large-scale digital libraries; user studies,"This article presents the findings of a case study that examined user navigation in a large-scale digital library in the context of academic use. Using the Digital Public Library of America (DPLA) as a case, the study explored user navigation and understanding of a distributed model of large-scale digital libraries. The DPLA model involves two-or three-step navigation pathways. Most study participants could navigate the DPLA distributed, multilayered system effectively. This study found some confusion among the participants when they must move through a three-step process to locate digital objects provided by a metadata aggregator service hub. The study participants also pointed out the advantages of a distributed model in collocating digital resources and connecting users to a wide range of digital libraries.",2017
"Decker, Emy Nelson",Baby Boomers and the United States public library system,LIBRARY HI TECH,Public libraries; Attitudes; Computers; Customer orientation; United States of America; Baby boomer generation,"Purpose - The members of the Baby Boom generation, who comprise a very large, diverse, and outspoken sector of the population, are about to grow older and enter the public library. Are public libraries in the USA ready to accommodate their changing needs? The number of Baby Boomers, soon to be in the older adult category, will be unprecedented. Never before has there been such a sharp increase in the number of older adults. In addition, this group of users will have particular needs of their public libraries. This paper aims to focus on the issues. Design/methodology/approach - This paper explores the specific needs that the Baby Boom generation will have of the US public library system by focusing on three specific, albeit interrelated, categories: social, programming, and technological, and offers methods for keeping these vital members of society engaged with their public libraries. Findings - This paper provides insights into possible solutions for maintaining and enhancing the public library's role as an important cultural center in the community for the aging population. Originality/value - The paper explores the needs of the Baby Boom generation and what the US public library system can do to serve these needs.",2010
"Sinclair, N. Tanya",BUILDING A LEARNING ORGANIZATION IN A PUBLIC LIBRARY,JOURNAL OF LIBRARY ADMINISTRATION,case study; leadership; learning culture; best practices; public library; learning organization; training & development; organizational learning,"Libraries are discovering that building an effective learning culture can be a strategic component of success in the workplace. This case study outlines how a public library system in Canada built a strong learning culture as a change initiative. Multiple methodologies were used including a single group pretest/post-test intervention, surveys, and focus groups combined with elements of participatory action research and appreciative inquiry. Study findings suggest that employees' perceptions of the workplace became more positive as learning organization principles were implemented. This study offers best practices for leaders who wish to build effective learning cultures in the library.",2017
"Mehra, Bharat; Davis, Rebecca",A strategic diversity manifesto for public libraries in the 21st century,NEW LIBRARY WORLD,Strategic planning; Public library; Diversity; Strategic diversity manifesto; Website content analysis,"Purpose - The purpose of this research-based philosophical piece is to present a progressive manifesto for public libraries in the 21st century to address gaps in embracing diversity in its holistic dimensions and representing such information in their strategic planning and web documentations. Design/methodology/approach - Content analysis of public library websites in the USA informed the development of a Strategic Diversity Manifesto that includes the who, the what and the how components to describe and discuss diversity-related matters in their strategic planning and web representations. Findings - The Strategic Diversity Manifesto provides a mechanism for individual public library agencies, in their localized context and environment, to strategically inquire, describe, discuss, reflect, analyze and translate into concretized actions their picture of diversity as grounded in the reality of their representative communities. Originality/value - The Strategic Diversity Manifesto presents a more a comprehensive and consolidated picture of diversity beyond isolated strategies seen in past efforts. It is a broader level of analysis and picture painting of the agency's context, which may not be as detailed as compared to other modes of description, though as a result, it is more holistic instead of fragmentary. The aim is first and foremost to provide a basis for reflective thought and discussion.",2015
"Lenstra, Noah; Mathiasson, Mia Hoj",Free and for all? A comparative study of programs with user fees in North American and Danish public libraries,LIBRARY MANAGEMENT,Library finance; Charging; User fees; Public librarianship; Library programs; Comparative study,"Purpose - As a research topic within the field of LIS, programs in public libraries are underexplored, and the question of user fees for programs has not previously been addressed. Design/methodology/approach - This article compares data collected from two individually conducted studies of public library programs in North America and Denmark to enrich our understanding of user fees in relation to programs. Findings - The comparative analysis shows both similarities and deviations regarding the levying of fees for library programs. While paying a fee to attend a program is rather normal in Denmark, it is more of a fringe idea in North America. Research limitations/implications - By exploring a previously understudied facet of contemporary public librarianship, this article opens up new avenues for inquiry regarding how the relative accessibility and availability of programs relate to theoretical discussions about programs as public library services. Practical implications - This article provides library managers with needed information about how to conceptualize the roles of programs as public library services. Social implications - As programming surges to the fore in contemporary public librarianship, the levying of user fees has social implications in terms of social equity and the public library ethos of free and equal access for all. Originality/value - This article is the first study of user fees for public library programs, as well as among the first cross-national comparisons of programming as a dimension of public librarianship.",2020
"Gomez, Ricardo; Gould, Elizabeth","The cool factor of public access to ICT Users' perceptions of trust in libraries, telecentres and cybercafes in developing countries",INFORMATION TECHNOLOGY & PEOPLE,Trust; Public libraries; Communication technologies; Internet,"Purpose - This paper aims to determine how trust and perceptions shape uses of information and communication technologies (ICTs) in public access venues (libraries, telecentres, and cybercafes) in 25 developing countries around the world. Design/methodology/approach - As part of a global study conducted by the Technology & Social Change Group at the University of Washington, local research teams conducted surveys, site visits, and interviews of over 25,000 respondents in different types of public access venues in the selected countries, using a shared research design and analytical framework. Findings - The use of public access venues is shaped by the following trust factors: safety concerns, relevance of the information, reputation of the institution, and users' perceptions of how cool these venues are. While libraries tend to be trusted as most reputable, telecentres tend to be trusted as most relevant to meet local needs, and cybercafes tend to be perceived as most cool. Research limitations/implications - The paper is limited by its descriptive and not predictive nature, and is not based on a statistically representative sample of the population. Practical implications - The insight presented in this paper can help inform policy decisions about public access initiatives, and inform future research to better understand the causes and consequences of trust in public access ICT. Understanding these perceptions helps gain a more nuanced understanding of the way services are provided in venues that offer public access to ICT. Originality/value - This paper is novel as it covers public access to IT in 25 developing countries across different types of venues, using a shared design and methodological approach. A study of this magnitude has never been done before. The findings provide valuable insight into understanding how people trust different types of public access ICT venues.",2010
"Wang, Ting; Lund, Brady",Announcement Information Provided by United States' Public Libraries during the 2020 COVID-19 Pandemic,PUBLIC LIBRARY QUARTERLY,COVID-19; Pandemics; Coronavirus; Public Library; Emergency Response; Announcement,"This study synthesizes timely information about the COVID-19 virus and examines how public libraries have responded to the pandemic in real-time through their online announcements to the public. A content analysis of library announcements relating to the COVID-19 pandemic posted during the period of March 14-April 12, 2020, was performed. Over 90 percent of libraries announced a closure due to the pandemic and 98 percent libraries indicated programs were suspended. Over half of libraries posted about COVID-19 and general hygiene practices. Many announcements changed in terms of content from March 14 to April 12, demonstrating the rapidly evolving nature of the pandemic. This study suggests that libraries can and do play an important role in providing reliable information about pandemics like COVID-19 for patrons.",2020
"Park, Jung-ran; Li, Guisu; Burger, Amy",Opening and closing rituals of the virtual reference service of the Internet Public Library,JOURNAL OF DOCUMENTATION,Interpersonal communications; Internet; Public libraries; Virtual organizations; Reference services,"Purpose - The purpose of this paper is to explore the communicative rituals of opening and closing manifested in e-mail-based Internet Public Library's (IPL's) online reference interaction. Design/methodology/approach - A total of 400 transcripts comprising user queries and responses by IPL librarians are examined. The opening and closing elements are identified to examine the way in which 1PL librarians and users construct social space; that is, communicate their interpersonal and affective stances during the course of seeking and offering information. Findings - The results of data analysis show regular patterns of verbal and structural politeness indicators of opening and closing e-mail discourse. Linguistic elements such as greetings and acknowledgement are included in all the sampled transcripts; i.e. a 100 percent occurrence. Closing rituals have a 95 percent occurrence of linguistic features such as acknowledgement and invitation for follow-up. In contrast, there is a low occurrence of personalized openings through greeting by user name (26 percent). This lack of personalization also occurs in closings: personalized farewell through use of librarian name appears in only 8 percent of closings. Research limitations/implications - The employment of the various politeness tactics in opening and closing reflects the librarian's attention and concern to user's information needs, interests and wants. Such communicative competence narrows social distance and brings forth close socio-interpersonal space for interaction; this may, in turn, improve the overall quality of reference service. Research findings also indicate that more use of personal names may decrease the social distance between the librarian and user, resulting in increased solidarity and proximity. Originality/value - The study provides new insights into linguistic politeness and the functions of address forms such as personal names with a view toward developing effective opening and closing rituals that contribute to the enhancement of virtual reference services.",2010
"Galbraith, Quinn; Merrill, Erin; Outzen, Olivia",The Effect of Gender and Minority Status on Salary in Private and Public ARL Libraries,JOURNAL OF ACADEMIC LIBRARIANSHIP,Pay disparity; Wage gap; Gender; Minority; Academic libraries; Research libraries; Public vs private; Research,"The purpose of this study was to identify pay disparities within gender and race using private and public Association of Research Libraries (ARL) libraries as a lens. In this study, 44 ARL libraries participated, leading to 1099 usable responses to our survey. The findings indicate that race and gender pay disparities are larger at private libraries than at public libraries. However, disparity levels at both public and private ARL libraries are smaller than the national averages for all professions and continue to shrink.",2018
"Black, Alistair",'We don't do public libraries like we used to': Attitudes to public library buildings in the UK at the start of the 21st century,JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE,architecture and design; Mass-Observation Archive; public libraries; 21st century; United Kingdom,"Although the quality, performance and future of public library services in the UK is a matter of debate, there is little doubt that in recent years, despite claims relating to the emergence of a cyber-society, interest in library buildings and the library as 'place' has been intense, almost matching that seen during the Carnegie era of mass public library building in the early 20th century. Tapping into this renewed enthusiasm for the library built form, this article analyses evidence collected by the Mass-Observation Archive (MOA) in response to a request for written commentary on public library buildings, an investigation commissioned by the author. The MOA contains evidence, stretching back to the 1930s, of the British public's daily lives and attitudes. The Archive's data-collection method takes the form of essay-style contributions, varying from a few sentences to thousands of words, submitted from anonymous volunteer correspondents. A total of 180 essays (from 121 women and 59 men) were received, and all were read and analysed for the purpose of this study. Analysis focused on the tension between old and new styles of library design. It was found that while some people prefer public library buildings to retain their historic style and feel, others demand contemporary designs like those employed in recent years for new, 'flagship' buildings in Norwich, Peckham, Brighton and Newcastle-upon-Tyne. A third category of opinion expressed a taste for the provision of up-to-date facilities and interior decoration in historic settings. A fourth strain of thought - the essence of which might be described as 'libraryness' - played down the importance of style, whether old or new, foregrounding the importance of services and collections. The second half of the article offers a discussion that places the MOA evidence in the context of an assessments of, and commentaries on, recent public library design.",2011
"Hunt, Laura Kelly Clark",Caregivers' Motivations for Attending Emergent Literacy Programming in Public Libraries: Qualitative Analysis of Three Case Studies,PUBLIC LIBRARY QUARTERLY,Emergent literacy; children's programming; motivation; public libraries,"Public libraries are an important resource for emergent literacy development. Emergent literacy is the behavior a child exhibits relative to books and reading before the child is able to decode words. A distinctive feature to public libraries is the free and equal access they offer to the public and specifically caregivers of very small children. Libraries house large quantities of print and electronic resources that give children the opportunity to have meaningful literacy experiences that are necessary for reading development. These experiences have a significant impact on emergent literacy development. While literature demonstrates the importance of public libraries for small children, caregivers may not know about the impact of print-rich environments on emergent literacy skills. These interviews with caregivers reveal that most of them attend public library-emergent literacy programming for many other reasons than developing emergent literacy skills and exposure to a print-rich environment.",2020
"Ball, Mary Alice",Aggregating broadband demand: Surveying the benefits and challenges for public libraries,GOVERNMENT INFORMATION QUARTERLY,ARRA; American Recovery and Reinvestment Act; 2009; Broadband deployment; Public Libraries; Indiana,"Public libraries in the United States play an important role in their communities by providing free internet access to all residents. Research exists that discusses public library connectivity by investigating funding, technical aspects, and library mission, and that also promotes membership in regional or state consortia as a means of making broadband internet connections more affordable. The research discussed here builds upon these works by asking the question: Do the benefits of aggregation, or pooling demand, justify the investment of state library resources in establishing and maintaining a library cooperative to support internet access? It reports on a survey of Indiana public library directors on questions related to connectivity, E-rate funding, and participation in the Public Library Internet Consortium, a statewide cooperative established by the Indiana State Library. The survey was conducted by Dr. Mary Alice Ball, who was affiliated with Indiana University School of Library and Information Science, Indianapolis while conducting the relevant research. Dr. Ball chairs the Telecommunications Subcommittee of the American Library Association's Office for Information Technology Policy. (C) 2009 Elsevier Inc. All rights reserved.",2009
"Brett, Jeremy; Campbell, Mary E.","Prejudices Unshelved: Variation in Attitudes toward Controversial Public Library Materials in the General Social Survey, 1972-2014",PUBLIC LIBRARY QUARTERLY,Public libraries; censorship; attitudes; controversy; General Social Survey,"Using the General Social Survey from 1972-2014, we examine variation in attitudes toward retaining controversial materials in libraries. Previously controversial topics have become much more widely accepted. We find that other controversies remain, showing how global conflicts become intertwined in local cultural controversies, and how the perceived threat from particular groups informs public concern with disseminating information from those groups. We find that more frequent library users are somewhat less likely to want to remove controversial books from the shelves, although some of these relationships are explained by variation in the respondent's age, race, and other characteristics.",2016
"Kim, Soo Hyeon; Choi, Gi Woong; Jung, Yong Ju",Design principles for transforming making programs into online settings at public libraries,INFORMATION AND LEARNING SCIENCES,Communities of Practice; Public libraries; Makerspace; Informal learning; Making; C4P; Connected learning,"Purpose This paper aims to investigate design principles for transforming existing making communities of practice within public libraries into online knowledge-building communities to support youths, families with young children and adult members' making and tinkering during COVID-19. Design/methodology/approach Building upon C4P and connected learning framework, the authors analyze existing literature and practitioner reports on informal learning projects related to making and STEM learning, family learning and online learning as well as emergent cases of innovative approaches in response to COVID-19 from public libraries, informal learning institutions and community groups. Findings The authors suggest 11 design principles around five areas: program design, facilitation, tools and materials, process documentation and sharing and feedback. Originality/value This work contributes to the information and learning sciences concerned with community engagement and knowledge creation by suggesting a design model to transform and sustain existing making communities of practice within public libraries into online knowledge-building communities during COVID-19.",2020
"Parker, Josie Barnes; Marin-Jimenez, Maria-Dolores; Gallo-Leon, Jose-Pablo; Gomez-Hernandez, Jose-Antonio",THE PUBLIC LIBRARY SYSTEM AS AN ELEMENT IN THE 2007 AND 2015 ELECTORAL PROGRAMS OF SPAIN'S POLITICAL PARTIES IN THE REGION OF CASTILLA-LA MANCHA,JOURNAL OF LIBRARY ADMINISTRATION,public libraries; public policy; Spain; elections; electoral programs,"To assess the relevance of the Public Library System in the political agenda, programs presented by the Political Parties competing in Regional and Local elections in the Spanish Region of Castilla-La Mancha were analyzed and the proposals about these library institutions were identified. All Regional programs were collected and also an ample sample from the Municipalities for the 2007 and 2015 elections, trying to find the differences influenced by the impact of the financial crisis and recession on the public-library policies. The conclusion arrived at was that, although the Public Libraries may be reasonably present in the studied programs, there is a low awareness by the Political Parties of the main problems.",2017
"Seleb, David J.; Kolo, Jodi","Our Path to Engagement, Learning, and Stewardship: The Oak Park Public Library, the American Library Association, and the Harwood Institute",PUBLIC LIBRARY QUARTERLY,Community engagement; community impact; Harwood Institute; Oak Park Public Library; strategic planning,"How do we engage with our community in a more meaningful way? How do we make the user experience the center of all we do? What impact are we having and how do we measure it? In an effort to better answer these questions and make a tighter connection between library objectives and the broader needs of the community, the Oak Park Public Library embarked on a journey to turn outward. Following the Harwood model for community engagement, Oak Park has made strides in unifying its internal operations and strengthening strategic partnerships. Its intention is wider and deeper community impact.",2017
"Betts-Green, Dawn",We Could Do Better: Librarian Engagement in LGBTQ Collection Development in Small and Rural Public Libraries in the Southern U.S,PUBLIC LIBRARY QUARTERLY,LGBTQ; public libraries; collection development; librarian engagement,"Although the LGBTQ community, from all appearances, maintains a strong connection to libraries as safe spaces, it is unclear whether the libraries themselves are providing relevant resources and services to the community. In addition, LIS research on LGBTQ patrons has centered on collection development how-tos and high level, broad suggestions without evaluating the actual state of the libraries' resources and services to these patrons. In this analysis, I found that what primarily affected what the libraries had on their shelves was an actively engaged librarian dedicated to proper collection development practices. Future research will be needed to better determine motivations and best practices for the larger group.",2020
