author,title,publisher,keyword,abs,publish_year
"Yoon, Hye-Young",An Analysis of Local Laws and Regulations Related to the Public Library: Focusing on Daejeon Metropolitan City,Journal of the Korean Library and Information Science Society,Public Library; Local Laws and Regulations; Library Act; Ordinances,"This study suggests the basic data of the establishment and revision of local laws and regulations by analyzing the status and content of local laws and regulations related to public libraries focusing on Daejeon Metropolitan City. For this purpose, first, this study investigates the theoretical background of the type, nature, and procedure of establishing local laws and regulations. Secondly, this study analyzes the content of local laws and regulations related to public libraries classified into three parts, that is, metropolitan governments, local governments and school districts. Finally, this study points out the problems and solutions in relation to the structure of administration, the rank and position of library directors, and the organizations of public libraries.",2012
"Lee, Hye Yun; Lee, Jee Yeon",Relationship Between the Participation of Public Libraries’ Educational and Cultural Programs and the Library Uses,Journal of the Korean Society for Information Management,Public Library; Educational and Cultural Programs; Use of Libraries; Library Use Patterns; Library Program,"This study examined whether there is any difference in the public library patrons’ library uses depending on their participation in the educational and cultural programs of such libraries. Additional analysis was conducted to determine if the particular educational and cultural program participants’ showed any consistent library use patterns. The statistical analysis of such program offerings and the patron survey data resulted in the findings such as that there were statistically significant differences in how the patrons’ used the libraries, the number of library resources borrowed, and the frequency of library websites and/or mobile applications used based on their participation in the educational and cultural programs and also the types of programs that they attended.",2014
"Cha, Sung-Jong",A Study on the User Satisfaction of Public Library Users in Korea,Journal of the Korean Society for Information Management,public library; user satisfaction; library evaluation; customer satisfaction; library service quality evaluation,"This study examines user satisfaction in public libraries nationwide. It analyzes service quality factors that affect user satisfaction of public library patrons and identify sub-factors of service quality that affect the overall user satisfaction. User satisfaction factors were developed to measure library satisfaction in all aspects of the library service. Six variables were identified, including volume of books, staff, programs, facilities, online services, and information availability. According to survey findings, general library satisfaction was strongly correlated with information availability, facilities, and staff. Relatively lower levels of satisfaction were identified in the areas of online services and programs. All six service quality factors were statistically significantly associated with user satisfaction, where information availability, facilities, and volume of books showed stronger associations than the other three factors.",2011
"Noh, Younghee; Oh, Euikyung",A Study on the Library Director's Perception on Public Library Specialization Service,Journal of Korean Library and Information Science Society,Public library specialization; Library director’s perception; Subject librarian; Subject-specialized service; Specialization direction of library,"The purpose of this study is to discuss the developmental direction of public library specialization by investigating the library specialization and the perception and opinions on the theme specialized librarians. A total of 69 directors have responded to the survey, and the main result was that while there are difficulties in terms of manpower and budget in providing the specialization services, they have been fully aware of the need and value of the libraries’ specialized services and were willing to maintain and develop the services in the future. In addition, more than half of the respondents said that the provision of specialized services and the placement of theme specialized librarians at the public libraries are essential. The qualification for the theme specialized librarians was said to be higher than a master's degree and 4 to 7 years or longer of relevant work experience and must be managed as a national qualification system. Based on these results, suggestions were made that the discussions of the specialization service comprised of the training system for specialized librarians, the establishment and operation of the theme specialized librarian qualification system, and the cooperation with the theme related organizations for the qualitative improvement of the specialization service, among others.",2018
"Kwon, Nahyun",An Analysis of Staffing of Public Librarians and Staffing Standards for Public Libraries,Journal of the Korean Library and Information Science Society,Staffing Standards; Public Libraries; Staffing Statistics,"The purpose of this study was to examine the current staffing practices in public libraries and to analyze the relevance of legal standards of public library staffing. It analyzed the national library statistical data to obtain the national average staffing rate, reviewed related literature to understand the rationales that established the key attributes that construct the current legal standards, and compared the placement rates of the three standards, namely the current legal standards, Korean Library Association’s standards, and IFLA staffing standards, to determine the optimacy of the legal standards. It found the current placement rate in the legal standard was only 18.2%, marking the lowest rates among the three compared standards, indicating the current legal standards being unnecessarily high. The study attributes the problem to the structure of the current legal standards that calculate the staffing size based on the building and collection size rather than service populations. The findings of this study suggest a revision of the current standard based on service population while retaining the minimum staffing of three librarians even the smallest public library unit.",2017
"Dong-Chul, Kwack",A Research on the Establishment of the Medium-term and Long-term Development Plan for Public Libraries in Cheongju City,Journal of the Korean Library and Information Science Society,public library; library policy; library management; library building plan,"Many local governments in Korea have competitively interested in founding and operating public libraries and carried out various projects for promoting them. Each local government, however, has focused on increasing the number of public libraries, lacking in an effort to enrich the qualitative substance.The purpose of this study is to suggest medium-term and long-term development plan for public libraries in Cheongju by considering internal and external problems of public libraries, and resent government plans for libraries. To identify this purpose, the study investigated the present founding and operating condition of public libraries in Cheongju. In the second, it suggested the medium-term and long-term strategic plans for public libraries in Cheongju using SWOT analysis. In the third, it also reviewed founding and operating changes of public libraries in Cheongju and Cheongwon which were integrated into one city. Lastly, the methods for organizing and operating public libraries in Cheongju were suggested.",2012
"Choi, Sangki",A Study on the Expansion of the Outreach Service at Public Libraries,Journal of the Korean Library and Information Science Society,Public Libraries; Library Outreach; Outreach Service; Outreach Program; Marketing,"The purpose of this study was to propose the expansion plan of outreach services at public libraries. This study explored the nature of outreach services of public libraries. It also compared the types and cases of services conducted by public libraries in Korea and the U.S.A., respectively, through literature research and library websites.The following were proposed: (1) diversity of outreach service; (2) quality improvement of outreach service; (3) consolidation of online outreach service; and (4) human and financial resources, and community partnership.",2012
"Lee, Jee Yeon; Ahn, Junbum; Oh, Hye Young; Seo, Hye Lin",Study to Identify the Status and to Develop Plans for Improving the Children and Youth Services of Public Libraries,Journal of the Korean Society for Information Management,children’s program; youth program; public library services,"The purpose of this study is to identify the status and also to develop improvement plans for the children and youth services of the public libraries. To determine the information service status and the librarians’ perceptions on the levels of services they provided, the 2016 Korean National Library Statistics System data and the survey results from the children and youth program librarians in the 108 public libraries were analyzed. The analysis revealed the problems such as lack of human resources and budget, shortage of space, and an inflexible program curriculum, which affect the program as a whole negatively. Five suggestions were made to remedy the problems. They are: 1) development of the new programs, which can interest the children and youth and motivate the sense of association among the program participants; 2) increase the number of the programs including the schools and other related organizations nearby region; 3) incorporating the new program formats to enhance the participation; 4) starting the new services explicitly targeted for the information-poor group of people; and 5) soliciting policy-level support for the libraries. In summary, this study made a few suggestions for the libraries ranging from planning the programs to requesting assistance from the national as well as the regional governments.",2018
이애란,An Analysis on the Lifelong Education Program in Korean Public Libraries,Journal of Korean Library and Information Science Society,Public Library; Lifelong Education; Adult Education; Education Program; Course,"The study is on the types, contents, characteristics, and levels of lifelong education programs from 16 central and local public libraries in Korea. And also analyzes the situation and the results of learning purpose, educational content and teaching methods from 4 public libraries of Ulsan province.On the basis of the results, suggests for the improvement proposals of lifelong education programs in Korean public libraries as follows ; (1) proposes the differentiation and establishment of system for the programs. (2) presents the model development for the evaluation of the educational programs.",2010
"Dong-Chul, Kwack",A Study on the Unified Policy of the Public Library Administrative System in Korea,Journal of the Korean Library and Information Science Society,Public Library; Library Administrative Systems; Library Policy; Library Administration and Management; Comprehensive Library Advancement Plan,"The 21st century is the era of knowledge and information, and also the age of education and culture. The importance of a public library, which stands in the center of the stream of the times, cannot be overemphasized. A public library is a reservoir of learning and culture as a base camp for achieving a creative economy and the flourishing of our culture. Many problems are caused with the promotion of unification of a public library administrative system coming to the fore as a large issue of library communities in poor surroundings where the public libraries don’t observe the library laws and rules bottom of such a reservoir is splintered by drought, and its embankment is not solid. Accordingly, this study is aimed at suggesting the improvement plan by analyzing all arguments and problems in relation to the promotion of the administrative system unification of a public library. For this purpose, first, the study considered the developmental process of the discussion about public library unification; secondly, the points at issue and problems in public library unification are reviewed; finally, this study arranged and suggested the improvement plan related to public library unification.",2016
이정호,A Study on the Formation of Placeness in Public Libraries,Journal of the Korean Biblia Society for Library and Information Science,Public Library; Library as Place; Placeness; Place Attachment; Place Value; Mediated Effect,"The purpose of this study is to identify the formation of placeness in public libraries, to understand placeness of public library, and to explain its social value. This study conducted causality analysis of placeness formation in public libraries. And this study analysed the direct and indirect effects of place attachment in public libraries as a mediated factor between placeness factor and perceived place value.",2012
"Kim, Sin-Young; Kwon, Nahyun; Ae, Kim Sun",A Study on the Outcome Management through the Analysis of Public Library Operations and Services in Seoul,Journal of Korean Library and Information Science Society,Public Library; Public Library Service; Outcome Management; Performance Indicators,"The purpose of this study is to present the directivity of outcome management through the analysis of public library operations in Seoul. For this purpose, author evaluated the public library policies by linking the 「Metropolitan Comprehensive Library Advancement Plan 2018∼2022」 and 「The Third Comprehensive Library Advancement Plan: 2020 implementation plan」 and compiled to draw up the issue of policy development on the awareness of public library services by Seoul citizens. Nest, author analyzed and compared the core infrastructure, collection services, programs and activities of 173 public libraries in 25 local governments. Based on these results, author suggested the directivity of outcome management as follow. All public libraries in Seoul must emphasize the development scope and management methods of the performance indicators. For outcome management, this study emphasized building a strategy planning with the development procedures of performance indicators, categorizing outcome management indicators, developing user-centered indicators, and improving qualitative indicators. As there is a possibility that the quality of services expressed in the output may deteriorate due to the failure of the physical input indicators, it is necessary to strengthen the input and encourage the resolution of the service gap by establishing a performance management system to logically explain the relevance or causal relationship between these indicators.",2020
"Kim, Sunho",The Subject Analysis on the Reading Programs of the Public Libraries in the Metropolitan Cities,Journal of Korean Library and Information Science Society,Reading; Public Libraries; Library Policies; Subject Analysis; Content Analysis,"The purpose of this study is to identify the main subjects of the reading programs which are provided by the public libraries during september, “the reading month,"" in 7 metropolitan cities, Seoul, Pusan, Daegu, Incheon, Daejeon, Gwangju, and Ulsan. To achieve this purpose, the data are collected from 622 programs of the sixty-two libraries. The content analysis method was used to analyze data and find results from it. The results are summarized as follows:1. Reading and culture are identified as the main subjects of the programs.2. The preferred subjects among the public libraries in 7 metropolitan cities are identified as different.",2008
"Pyo, Soonhee; Ko, Young Man; Shim, Wonsik",A Study on the Variables Affecting Public Library's Use Value,Journal of Korean Library and Information Science Society,Korean Public Library; Use Value; Valuation; CVM,"In this study, the factor that affect use value of domestic public library was analysed. This study try to grasp the effect of various variables such as characteristics of the respondent and library through the measurement using CVM that extract the value by the user's statement. For this purpose, effective variables identified in the value measurement study of domestic and foreign public library was grasped and characteristics of the effective variables presented in the study examined. The factor influenced WTP representing library's value are the demographic characteristics such as gender, income, age and the using pattern such as frequency of use, time to visit. As to user's satisfaction and recognition, the recognition about librarian's satisfaction, place for resident's exchange, degree of financial support, culture-art volunteers are affecting depending on the service such as information, facilities and programs. The study comprehensively analysed the impact on the value measured by all types of public library in the nation and provided the information about property of value assessed by user according to region and scale. This information is expected to help the strategic policy making to enhance the value of library in the future.",2011
"Jeong, Han Hui; YONG, KIM",A Study on Space Design of a Public Library in Ubiquitous Life,Journal of the Korean Society for Information Management,ubiquitous; information commons; library space; public library; library facility,"With the advent of uniquitous life, changes of users’ demands make a public library accomplish roles and functions of a complex service center providing information, education and culture service. As a multi-function center, a public library provides various services based on physical and digital space in ubiquitous environment. Information commons is a basement of physical space in an u-Library. Especially, with the advent of ubiquitous environment, design and use of physical space will be a critical issue for a public library to perform its role and function as a multiple complicated space. This study derives facilities and components for designing and implementing information commons in a public library as a physical space. To perform the goals, this study focuses on the newest trends and requirements through literature study, case study and survey. As a result, this study proposes components of facility and principles of design to implement information commons as a physical space in a public library.",2010
"Yoon, Hee-; Kim, Jong-Ae; 오선경",Analysis and Implication of the Collection Development Policy of Public Libraries in Major Cities,Journal of the Korean Society for Information Management,public library; regional central library; collection development (management) policy; library collection guideline,"All public libraries are collection-based knowledge and cultural service institutions. To this end, a collection development policy is an essential and a strategic menu that every library should establish first. Regional central libraries should establish and apply optimal collection development policies to conduct the legal duties as knowledge and information centers and cooperative preservation facilities of the cities and provinces. Thus, this study analyzed and compared in detail the collection development guidelines (draft) and regulations of regional central libraries in Korea and the collection development policies of metropolitan public libraries abroad. Results showed that the policies of domestic regional central libraries were simply practical guidelines while those in most developed countries were substantial in format and content. All regional central library systems should establish and document collection development policies based on the importance of collection development, future-oriented thinking, and strategic decision. The study also suggested the basic principles and the format for this purpose.",2020
"Cho, Chansik",A Study on the Cultural Programs of Public Libraries in Seoul,Journal of the Korean Library and Information Science Society,Public Library; Library Functions; Library Management; Cultural Program; Socio-cultural Service,"The practice and management of cultural programs of public libraries have drown social attention as the importance of the public library has been emphasized in the process of social development. In this context, this study looks into the theoretical background of the importance on the public library's cultural programs, examines the practice of cultural programs of public libraries in Seoul from various perspectives through web-pages, and investigates the managerial aspects of them through survey of 20 public libraries in Seoul. By so doing, this study aims at enhancing our understanding on the cultural programs of public libraries.",2008
"Chang, Durk-Hyun; Lee, YeonOk",A Study on Current Situation of Multicultural Services in Public Libraries in Busan Metro Area,Journal of the Korean Library and Information Science Society,Public Library; Multiculturalism; Multicultural Services,"This study attempts to suggest effective strategies for public library services for multicultural polpulation in Busan metro area. Emphasis was put on the perceived problems and strategies of librarians who are in charge of multicultural services in three public libraries in Busan. Specifically, this study surveys major issues, problems, and solutions related to serving multicultural population in public libraries. For this, the study collected data from qualitative interviews with informants and analyzed contents. It is expected that the results of the study will provide multicultural agencies with primary data to restructure the service programs for immigrants in Korean public libraries.",2017
"Choi, Heekon",An Analysis of Impact Factors on the Number of Users of Public Libraries,Journal of the Korean Society for Information Management,public library; users; number of users; impact factor,"The purpose of this study is to comprehensively analyze which kind of factors have an effect on the number of users in the public libraries. For this, this study analyzed various factors, such as personnel, collection, budget, event, influenced on the number of their users of 55 public libraries in Seoul. The results of this study indicated that the number of users in the public libraries is influenced by the number of their seat, librarian, the building size and the number of librarian. Besides, the result of multiple regression analysis to verify these regression models was revealed that the factor influenced on the number of users of public libraries is only the number of seat. The result of this study is expected to practically use in establishing the plan to increase the number of their users in public libraries.",2009
"Park, Sungjae",Analyzing Library Space Use Patterns in a Public Library Through Smartphone WiFi,Journal of the Korean Society for Information Management,library space; WiFi tracking; space use pattern; public library; revisit rate; wayfinding,"The purpose of this study is to analyze library space use patterns through users’ smartphone WiFi. This study is applied a method to detect WiFi signal of users’ smartphone to analyze the in-library wayfinding of users. The library usage data were collected for four months in a library in Seoul, Korea. The results show that the average 37.9% of library users revisits the library the next month. Half of users stay under 7 minutes in the library. Users mainly visit the library between 2 and 3 o’clock, and few users visit the library after 5 pm on weekends. The floor moving pattern result shows that the co-visit rate between the third and fourth floor is higher than others, in that these two floors are mainly composed of book shelves. These results indicate that the method to detect the WiFi signal for spatial pattern analysis could be more effective than observation which was used in previous research. It, therefore, is expected that this method would be applied in other libraries to analyze and enhance the library space usage.",2019
"Kwak, Chul-Wan",A Study the Informationization of Public Libraries: Comparing 2012 with 2014,Journal of the Korean Biblia Society for Library and Information Science,Public Libraries; Informationization; Digital Libraries; Digital Services; Internet Survey,"The objective of this study is to investigate and compare the situation of the informationization of public libraries between 2012 and 2014. Data were collected two times in both 2012 and 2014 using Internet survey. Survey contents were general information situation, softwares, digital service room, RFID, digital contents, mobile service, integrated digital services. Results show that library informationization went for demonstration effect for local residents, staff for library informationization was insufficient, KOLAS was still needed to be upgraded, and most of public libraries were insufficient for future digital services. As improvement plans, there are the development of next generation integrated system, expansion of mobile web and app service, and increasing digital contents. For further study, it provides a study of the use of digital contents and equipment on public libraries.",2015
"Ae, Kim Sun",A Study on Customer Satisfaction Framework for Public Library Services,Journal of Korean Library and Information Science Society,Public Library; Library Evaluation; Customer Satisfaction; User Satisfaction; Customer Satisfaction Evaluation,"The customer satisfaction, which is close with the loyalty, rate of disconnection and re-purchase and the new customer creation is important in point of the enterprise performance measurement system. There have been a number of studies that applied different models in other to assess the customer satisfaction of public and non-public area. But the general evaluation models which are existing can't consider the discrimination characteristic of different types of products or services. And these models didn't reflect the quality of the Internet environment of the public library service which appears newly. This study delved into literature of library service and customer satisfaction evaluation and suggest the classification system of public library service and the evaluation model of customer satisfaction for public library.",2006
"Yoon, Hee",Feasibility Analysis of Establishment of the Collaborative Repository for Public Libraries in Korea,Journal of Korean Library and Information Science Society,Collaborative repository; Collaborative repository library; Regional central library; Public library; Feasibility analysis,"The goal of this study is to analyze the feasibility of establishment of the collaborative repository for public libraries in Korea. To that end, its feasibilities were analyzed from the sides of the relevant laws, national policy, library's recognition, and actual collection space. As a result, the feasibility of establishment of the collaborative repository was revealed by enough. Accordingly, based on the this basic research, there is a need to develop immediately the construction and operation model of the collaborative repository. And the Ministry of Culture, Sports and Tourism, and metropolitan city and province must grant priority of cultural policy in the establishment of the collaborative repository.",2013
"Dong-Chul, Kwack",A Study on the Analysis of Results on‘ Contracting Out’ of Public Library Services in Korea,Journal of the Korean Library and Information Science Society,Public Library; Contacting-out; Outsourcing; Privatization,"The purpose of this study is to analyze the performance of contracting out public libraries, in order to contributeto the promotion of their effective operation in Korea. Three public libraries which are currently operated by ‘contractingout’are selected to be reviewed for this study. Their performance are analyzed by means of literature search,questionnaires, and on-the-spot-survey. Investigated in detail are the following issues: First, the need for and backgroundof‘ contracting out’public library services, and their present state in Korea; Second, the pros and cons of‘ contractingout’ public library services; Third, the outcomes of public library services which have been currentlycontracted out. Finally, based on the aforementioned findings, a future model of‘ contracting out’public library servicesis proposed. Also suggested are the strategies for furthering the effective management of public libraries.",2004
"Yoon, Myung-Hee; Kim, Giyeong",A Study on the Perception of Librarians on the Usefulness of Measures in Public Library Operation Assessment: in the 2008 Korean Library Operation Assessment,Journal of the Korean Library and Information Science Society,Public Library Assessment; Evaluation Measure; Evaluation Indicator; Usefulness,"In this study, we investigate the usefulness of the measures of the 2008 Korean Public Library Operation Assessment as perceived by librarians in practice using a survey. The survey was answered by librarians in large, medium, and small-sized libraries managed by local autonomous bodies and in large-sized libraries that belong to local education authorities. The survey results show that whereas the usefulness of items was higher in planning area and those items that can be easily counted, and usefulness of items in human resources and facilities was lower. There are no significant results in differences by library size and by the characteristics of librarians. Based on the results, we suggest a direction for the improvement of the Korean Public Library Operation Assessment.",2009
ChangWookwon,A Study on the Knowledge Management Model in Public Libraries,Journal of Korean Library and Information Science Society,public library; knowledge management; knowledge management framework; knowledge management model,"This study works on how to change the public library paradigm in the side view of library faculties and environments, digital library, culture and structure. Also, here manages the need of knowledge management and components with the status problem of public library for a basis. This study aims to propose the total knowledge management model based on the knowledge management frameworks ; management strategy, the human resources, processing, and network.",2002
"Kim, Sunho",A Study on the Facilities for Old Persons in the Public Library Buildings,Journal of the Korean Library and Information Science Society,Older persons; Elderly; Facility; Public Library Buildings; Information Access,"The purpose of the study is to identify the degree of relevancy on the facilities for the older persons in the public library buildings. To achieve the purpose, the study has researched and analyzed ‘the guidelines of the law contributing to the convenience of the handicapped, older persons, pregnant women etc(1999)' for the older persons accessing to the facilities in the public library buildings. And then, the older persons' physical standard sizes in ‘Size Korea(1997)' are researched and reconfigured. The study has selected the 10 kinds in such facilities as followed: Door, Accessible Route, Stair, Elevator, Escalator, Ramp, Toilet Stall, Urinal, Table, and Post Box. As the result, the study has identified the relevancies of each facilities based on the older persons's physical standard sizes.",2004
양수연; ChaMiKyeong,A Study on the Model of Multicultural Services in Public Libraries,Journal of the Korean Library and Information Science Society,Public Library; Multicultural Services; Multicultural Libraries; Multicultural Service Model; Multicultural Library System,"The purpose of this study was to establish core elements required for the implementation of multicultural library services, to analyze the features of each element, and to develop a model of effective multicultural library services. This model was aimed to improve multicultural services and programs currently managed on a short-term basis by public libraries in Korea and help those libraries develop more systematic and long-term multicultural services. To proceed with this study, the literature review, a case study and a survey(the exploratory factor analysis, T-test and ANOVA analysis) were conducted. In this study, it is found that more effective operation of multicultural services in public libraries requires cooperation and integration with not only other libraries and related social and educational institutions in a community, but also international network. Based on this idea, the model of operating multicultural services in public libraries in Korea was proposed in this study.",2011
"김보일; Kim, Myoung-Su; Ahn, Chang-Ho",A Study on Community Information Service Activation Solution of Public Library,Journal of Korean Library and Information Science Society,Public library; Community information; Community information service; Local community,"Collection and provision of information for local community by public libraries is a very important task as an infrastructure facility of local community. Therefore, in order to suggest a plan to invigorate community information service of public libraries, this study conducted a survey on users' recognition on and demand for community information service of public libraries which libraries and user perceive.Based on this survey, this study suggested a plan for invigoration of community information service of public libraries through diversification of point of contact for use of community information, development of community information contents reflecting user demand, organization of consultative councils for community information service centering on public libraries, improvement of recognition and vitalization of use of public libraries.",2015
"Ae, Kim Sun; Suh, Hyeran",Examining the Collection of Public Libraries in Terms of Subject and Currency,Journal of the Korean Biblia Society for Library and Information Science,Collection; Collection Development; Evaluation of Collection; Public Library,This study attempted to analyse the collections of public libraries in terms of their subject distribution and currency. It was expected that the analysis would give public librarians some suggestions as to their collection development policy making. This study team selected 423 Korean public libraries across the country and scrutinized the collections by their classes of Korean Decimal Classification(KDC) and publishing years. The study results indicated that there was some subject disproportion in public library collections. Literature and social sciences were accounting for 54.8% of whole collections. Currency of collections of public libraries could be said relatively excellent. It was found that 64.9% of whole collections had been published after 2000.,2009
"Kim, Jeong-Taek",A Study on Developing BSC-based Public Library Performance Indicator Model,Journal of Korean Library and Information Science Society,Public Libraries; Performance Indicators; Balanced Scorecard; Relative Weights,"The mission of public library is to contribute to local society’s growth and improve local residents’ quality of life by satisfying local residents’ desire on information use, cultural activities, lifelong education, etc, and providing more convenient and equal access. This study is a research that deducted BSC-based public library performance indicator model composed of 12 critical success factors, 36 key performance indicators under four perspectives of learning and growth perspective, internal process perspective, resources perspective, and user perspective, estimated relative weights of deducted the performance indicator model on librarians of public libraries to analyze what performance indicator is important for accomplishing public library’s mission and promoting performance.",2009
"Noh, Younghee",A Study on the Evaluation of Greening Level of Domestic Public Libraries,Journal of the Korean Biblia Society for Library and Information Science,Public Library; Greening Level; Green Library Evaluation Indicators; Indicators for Eco-Friendly Libraries,"This study measured greening level on the 978 public libraries nationwide, making and distributing questionnaires based on green library evaluation indicators developed to measure the greening level of public libraries. As a result of analyzing the averages by evaluation area, among the green library evaluation areas, the whole average of the library resources was the highest by 1.93, and followed by land use and traffic 1.81, indoor environment 1.30, management of water circulation 1.20, etc. The greening evaluation area which shows the best strength in the surveyed public libraries, was the area of the library resource, and it turned out that it use spaces effectively like effective use of the entire area, effectiveness of conservation of books, use and management of eco-friendly products etc., or use the equipments in eco-friendly way which are purchased or used frequently in the libraries, and, as for the land use and traffic area, most of the libraries had bicycle racks, and chose the location of the libraries, considering accessibility to public transportation and a distance between central urban area and libraries. Also, it turns out that, in the area of materials and resources, most of the libraries were equipped with hand dryers and rolling towels and maintained the eco-friendly view.",2017
"송경진; 이정은; Son,, Jiyoung",Case Studies and Interviews to Review Public Library Services for People with Intellectual Disability,Journal of the Korean Library and Information Science Society,Intellectual Disability; Public Library Services; Case Studies,"This study focused on current status of Korean public library services for people with intellectual disabilities, as well as problems associated with managing the services, in order to suggest future directions for implementation. To analyze the current status, the researcher conducted a case study of current Korean public library services for people with intellectual disabilities. This research also conducted a focus group interview with librarians experienced in providing such services. The results show that the services are provided with the support of a community welfare center, in the form of a program over short periods of time. The librarians agreed on the appropriateness of the services but emphasized various difficulties associated with service management. Based on the results, we suggest possible points of consideration, including support for increased funding, more qualified personnel, adequate policies, and development of a model service for people with intellectual disabilities.",2013
"Jung-Soo, Lee; Kim, Tae-Kyung; 김보일; 정재희",Development of a Safety Management Manual for Public Libraries,Journal of the Korean Library and Information Science Society,Public Libraries; Safety Management; Safety Management Manual; Safety Management Checklist,"The study, on the one hand, reflects the recent social interest in crisis management including user safety and library disaster preparation, and, on the other hand, presents a detailed safety management manual that is a reference for library work sites concerning accidents that may occur in public libraries. The proposed safety management manual consists of safety management elements for the four areas of ‘safety management planning’, ‘safety management for each crisis type’, ‘information resource restoration’, and ‘safety management checklist’, as well as their detailed sub-categories. This allows each public library site to use the manual to establish safety management plans according to their situation and educate their employees.",2016
"Lee, Kyeong-Ran; Bock-Hee, Hahn",A Study on Young Adults' Programs Analysis & Revitalization in Public Library,Journal of the Korean Biblia Society for Library and Information Science,Public Library; Young Adult; Young Adults' Programs; Reading; Librarian,"This study aim was to revitalize young adults' programs in public library. For this aim, the study conducts a questionnaire survey to the young adults & the young adults' program librarians on the current state of the young adults' programs. Based on the survey results, the study suggested preparation of young adults' reading room, young adults' programs development, young adults' web site, young adults' librarian for young adults' programs revitalization in public library.",2009
"Oh, Dong-Geun; Yeo, Ji-suk; Choi, Sung yeol; Young-Kyu, Lim; Kim, Kwang-Seok",Development and Measurement of the Public Library Customer Satisfaction Index(LCSI) Model,Journal of Korean Library and Information Science Society,Library Customer Satisfaction Index; LCSI; Library Service Quality; Public Library Customer Satisfaction Index,"This study develops the LCSI(Library Customer Satisfaction Index) to measure the customer satisfaction of public libraries from 4,540 public library users in Daegu Metropolitan City area. LCSI consists of three variables; service quality divided into three primary dimensions(interaction of personnel), library resources and programs, physical environment and facilities) as independent variables, overall satisfaction and customer complaints as parameter, and customer loyalty as dependent variable. This model calculates LCSI scores at the ratio of 40% in satisfaction index to three dimensions of library service quality, 40% in overall satisfaction, and 20% in customer loyalty.",2009
"Yoo, Yeong-Jun",A Study on Faceted Navigation of the Public Libraries,Journal of Korean Library and Information Science Society,Faceted navigation; Public library; Facet; Convenience in using catalog; Usability of library users,"This study aims to construct faceted navigation useful for domestic users through analyzing English and North American public libraries’ faceted navigations. The 19 domestic libraries and the 12 foreign libraries has been chosen for analyzing their unique facets. Although the domestic libraries ‘facets had no differences to the domestic universities’ facets, the North American libraries have their unique facets. Those facets are target audience, genre, library list, user tags, and availability related facets and the facets are mainly to improve user’s usability in using library catalog. Adopting the facets in domestic public libraries by using Fixed-Length data elements of KORMARC, domestic public libraries will enhance usability of library users in retrieving library materials.",2014
"Shim, Jiyoung",A Content Analysis on the Domestic Public Libraries’ Use of Twitter,Journal of the Korean Society for Information Management,public libraries; social media; Twitter; content analysis; tweet categorization,"This study aims to identify and analyze the Twitter use of domestic public libraries. In order to identify the detailed patterns of Twitter use in library and information services, a content analysis was conducted for the 3,038 tweet data from the top 14 public libraries’ accounts on Twitter use. Inductive approach was adopted to develop a coding scheme and open coding was conducted with the entire tweet. Additionally, correspondence analysis was conducted for the result of content analysis to identify how library accounts correspond to specific types. As a result, 3 main categories and 9 sub-categories of public libraries’ Twitter use were developed. And the 37 detailed patterns of public libraries’ use of Twitter were identified. The identified patterns can provide the libraries interested in Twitter use with guidelines.",2017
"Lee, Geong-Ran",A Study on Public Library Management Improvement with Use Survey,Journal of the Korean Biblia Society for Library and Information Science,Library Management; Public Library; Library Service; Reading-Culture Program; User Satisfaction; Use Actual Condition,"The purpose of this study is to present a management improvement suggestion for better user satisfaction. For this, this research looked into the current issues of public libraries with literature review. Then a survey of eight hundred users in four libraries in Y-gu, D Metropolitan City was conducted to figure out users’ needs. As a result, the purpose of use, visit frequency and programs demanded are turned out to show statistically significant differences. Based on this result, finally, this study suggests an advisable management direction for public libraries and practical ways to improve user satisfaction.",2013
"Oh, Euikyung",The Study on the Activation of Public Library Services Utilizing Twitter,Journal of Information Management,Public Libraries; Social Network Services; SNS; Social Media; Twitter; Library Services,"This study showed the activation of public library services utilizing twitter. Top five American public library twitter’s 1,373 tweets collected, analyzed by content types and examined applicability into public library services. Based on the results, it suggested that public library services can be activated by auto-tweeting informations within home page, re-tweeting of timely informations, generating HASH tag, using diverse social medias, active re-tweeting/replying, and utilizing twitter programs such as twit-bot. Finally, the study proposed that evaluations about twitter services such as satisfaction survey should be carried out.",2012
